user_id	device	city	country	continent	region	sub_countinent	metropolice	revenue
7673382.39573999	tablet	(not set)	Morocco	Africa	(not set)	Northern Africa	(not set)	
91106616.9893917	mobile	(not set)	Belgium	Europe	Wallonia	Western Europe	(not set)	
8835668442.81628	tablet	Budapest	Hungary	Europe	Budapest	Eastern Europe	(not set)	
5516681.83151334	desktop	Tel Aviv-Yafo	Israel	Asia	Tel Aviv District	Western Asia	(not set)	
8140735.12573171	mobile	Ljubljana	Slovenia	Europe	Ljubljana	Southern Europe	(not set)	
64588379.6399145	mobile	(not set)	Norway	Europe	(not set)	Northern Europe	(not set)	
69316991.2395413	desktop	(not set)	South Africa	Africa	Gauteng	Southern Africa	(not set)	
3158027.11926385	desktop	(not set)	Romania	Europe	(not set)	Eastern Europe	(not set)	
4114446.96586732	mobile	(not set)	Bulgaria	Europe	(not set)	Eastern Europe	(not set)	
8219452.49344786	desktop	Makati	Philippines	Asia	Metro Manila	Southeast Asia	(not set)	
22151706.2897575	mobile	New Cairo City	Egypt	Africa	Cairo Governorate	Northern Africa	(not set)	
26875116.2976847	mobile	Jeddah	Saudi Arabia	Asia	Makkah Province	Western Asia	(not set)	
64304015.9676851	desktop	(not set)	Philippines	Asia	Calabarzon	Southeast Asia	(not set)	
7047990.27594267	desktop	Vienna	Austria	Europe	Vienna	Western Europe	(not set)	
77915559.2750987	desktop	(not set)	Chile	Americas	(not set)	South America	(not set)	
3325710.68155003	desktop	Minsk	Belarus	Europe	Minsk Region	Eastern Europe	(not set)	
8090499.41416459	desktop	Cairo	Egypt	Africa	Cairo Governorate	Northern Africa	(not set)	
8384382.3870237	desktop	(not set)	Bosnia & Herzegovina	Europe	Federation of Bosnia and Herzegovina	Southern Europe	(not set)	
10206562.2026717	mobile	(not set)	Vietnam	Asia	(not set)	Southeast Asia	(not set)	
